epoch,train_loss,valid_loss,accuracy,time
0,2.376730,2.303076,0.100000,00:02
1,2.378530,2.307243,0.094000,00:02
2,2.368372,2.352338,0.150000,00:02
3,2.357439,2.672406,0.122000,00:02
4,2.335343,3.655928,0.102000,00:02
5,2.336903,5.408067,0.098000,00:02
6,2.327228,6.799698,0.102000,00:02
7,2.318911,7.868785,0.108000,00:02
8,2.313300,8.336490,0.118000,00:03
9,2.284489,9.160525,0.120000,00:03
10,2.269833,9.523661,0.118000,00:02
11,2.280152,9.476408,0.104000,00:02
12,2.287070,9.340479,0.098000,00:02
