epoch,train_loss,valid_loss,accuracy,time
0,2.059490,2.030122,0.318000,00:23
1,1.944130,2.033554,0.342000,00:23
2,1.854530,2.322195,0.278000,00:23
3,1.792300,3.176507,0.262000,00:23
4,1.728411,1.959712,0.396000,00:23
5,1.639174,2.212182,0.332000,00:23
6,1.553964,2.075575,0.302000,00:23
7,1.479043,1.634887,0.506000,00:23
8,1.393954,1.542770,0.518000,00:23
9,1.318542,1.528968,0.552000,00:23
10,1.252077,1.427537,0.602000,00:23
11,1.182050,1.364438,0.634000,00:23
12,1.126137,1.300091,0.678000,00:23
13,1.069917,1.124323,0.728000,00:23
14,1.021590,1.121905,0.762000,00:23
15,0.979151,1.097594,0.768000,00:23
16,0.930736,1.055074,0.774000,00:23
17,0.896657,1.030327,0.796000,00:23
18,0.871055,0.991238,0.814000,00:23
19,0.856018,0.997737,0.810000,00:23
