epoch,train_loss,valid_loss,accuracy,time
0,2.080479,2.052738,0.288000,00:24
1,1.951140,2.092571,0.302000,00:24
2,1.857296,2.119040,0.282000,00:23
3,1.774436,2.134829,0.340000,00:24
4,1.703221,2.407245,0.322000,00:23
5,1.624507,2.093009,0.330000,00:24
6,1.544381,2.019276,0.420000,00:24
7,1.462631,2.549045,0.352000,00:23
8,1.380353,1.507587,0.582000,00:24
9,1.311405,1.356887,0.646000,00:24
10,1.240837,1.505056,0.564000,00:23
11,1.190402,1.451205,0.606000,00:23
12,1.139196,1.317283,0.674000,00:23
13,1.072525,1.278426,0.706000,00:24
14,1.025144,1.113608,0.742000,00:24
15,0.976813,1.072709,0.764000,00:23
16,0.933331,1.065533,0.764000,00:24
17,0.896760,1.051570,0.760000,00:24
18,0.872381,1.025615,0.784000,00:23
19,0.854905,1.024366,0.780000,00:23
