epoch,train_loss,valid_loss,accuracy,time
0,1.599629,1.606474,0.228000,00:16
1,1.561239,1.504856,0.392000,00:15
2,1.511411,1.443567,0.388000,00:11
3,1.457779,1.381725,0.432000,00:15
4,1.399295,1.293502,0.488000,00:13
5,1.335222,1.222503,0.536000,00:14
6,1.277201,1.163191,0.572000,00:13
7,1.222124,1.163133,0.564000,00:13
8,1.170444,1.066137,0.628000,00:15
9,1.124759,1.028285,0.656000,00:13
10,1.081654,1.007330,0.640000,00:14
11,1.041762,1.129758,0.576000,00:15
12,1.008727,0.949104,0.688000,00:12
13,0.982115,0.961417,0.672000,00:14
14,0.952069,0.927584,0.676000,00:15
15,0.931381,1.030761,0.648000,00:13
16,0.912746,0.894782,0.704000,00:14
17,0.897853,0.891857,0.688000,00:14
18,0.891166,0.891456,0.708000,00:14
19,0.884850,0.887758,0.708000,00:15
