epoch,train_loss,valid_loss,accuracy,time
0,2.197170,2.146651,0.222000,00:20
1,2.004586,3.737750,0.174000,00:20
2,1.830839,2.051794,0.276000,00:20
3,1.704454,2.437624,0.224000,00:20
4,1.588542,3.086566,0.220000,00:20
5,1.503161,3.660815,0.200000,00:20
6,1.407192,2.142427,0.322000,00:20
7,1.270002,1.697088,0.422000,00:20
8,1.154386,1.687761,0.454000,00:20
9,1.044981,1.743876,0.468000,00:21
10,0.949383,1.611244,0.558000,00:20
11,0.853658,2.224078,0.460000,00:20
12,0.755173,1.851444,0.510000,00:20
13,0.672100,1.404845,0.608000,00:20
14,0.610427,1.186861,0.672000,00:20
15,0.527513,1.060528,0.694000,00:20
16,0.468334,1.189101,0.688000,00:20
17,0.409163,1.016577,0.702000,00:20
18,0.365700,0.954315,0.728000,00:20
19,0.338728,0.962725,0.728000,00:20
