epoch,train_loss,valid_loss,accuracy,time
0,1.572978,1.947356,0.370000,00:20
1,1.335495,1.512845,0.616000,00:20
2,1.198407,1.488691,0.638000,00:20
3,1.094517,1.870418,0.478000,00:20
4,1.148685,1.341235,0.662000,00:20
5,1.047566,1.414344,0.636000,00:20
6,0.964865,1.734225,0.498000,00:19
7,1.213117,1.865811,0.450000,00:20
8,1.089619,1.410416,0.638000,00:20
9,1.088043,1.591803,0.590000,00:19
10,0.973210,1.142882,0.752000,00:20
11,0.876270,1.154501,0.746000,00:20
12,1.096545,1.890370,0.402000,00:20
13,1.183866,1.558197,0.580000,00:19
14,1.092025,1.293575,0.700000,00:20
15,1.153160,1.617457,0.634000,00:20
16,0.979531,1.076656,0.776000,00:19
17,1.066464,1.747376,0.548000,00:20
18,0.976445,1.122805,0.760000,00:19
19,1.031776,0.958678,0.812000,00:20
